Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,61,18,14,23,53,76,8,112,0.000%,1.01638,0.17,0.27
TOTAL,61,18,14,23,53,76,8,112,0.000%,1.01638,0.17,0.27
